title,startDate,endDate,season,seasonYear,tags,format,status,episodes,isAdult,genres,popularity,averageScore,countryOfOrigin,source,studios,rankings
Cowboy Bebop,4-1998,4-1999,SPRING,1998.0,"['Space', 'Crime', 'Episodic', 'Ensemble Cast', 'Primarily Adult Cast', 'Noir', 'Tragedy', 'Guns', 'Male Protagonist', 'Cyberpunk', 'Travel', 'Philosophy', 'Tomboy', 'Martial Arts', 'Anti-Hero', 'Terrorism', 'Amnesia', 'Cyborg', 'Gambling', 'Yakuza', 'Drugs', 'Cult', 'Police', 'Tanned Skin', 'Nudity', 'Found Family', 'Circus']",TV,FINISHED,26.0,False,"['Action', 'Adventure', 'Drama', 'Sci-Fi']",339584,86.0,JP,ORIGINAL,Sunrise,46.0
Cowboy Bebop: The Movie - Knockin' on Heaven's Door,9-2001,9-2001,SUMMER,2001.0,"['Terrorism', 'Primarily Adult Cast', 'Crime', 'Philosophy', 'Male Protagonist', 'Space', 'Noir', 'Martial Arts', 'Guns', 'Anti-Hero', 'Amnesia', 'Ensemble Cast', 'Cyberpunk', 'Military', 'Tomboy', 'Foreign', 'Work', 'Cyborg']",MOVIE,FINISHED,1.0,False,"['Action', 'Drama', 'Mystery', 'Sci-Fi']",63274,82.0,JP,ORIGINAL,bones,44.0
Trigun,4-1998,9-1998,SPRING,1998.0,"['Guns', 'Fugitive', 'Male Protagonist', 'Primarily Adult Cast', 'Philosophy', 'Incest', 'Crime', 'Tragedy', 'Travel', 'Shounen', 'Episodic', 'Desert', 'Twins', 'Steampunk', 'Post-Apocalyptic', 'Aliens', 'Space', 'Slapstick', 'Religion', 'Body Horror']",TV,FINISHED,26.0,False,"['Action', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",120738,79.0,JP,MANGA,MADHOUSE,280.0
Witch Hunter ROBIN,7-2002,12-2002,SUMMER,2002.0,"['Female Protagonist', 'Police', 'Magic', 'Urban Fantasy', 'Conspiracy', 'Fugitive', 'Noir', 'Witch', 'Primarily Adult Cast', 'Kuudere']",TV,FINISHED,26.0,False,"['Action', 'Drama', 'Mystery', 'Supernatural']",16157,67.0,JP,ORIGINAL,Sunrise,24.0
Beet the Vandel Buster,9-2004,9-2005,FALL,2004.0,['Shounen'],TV,FINISHED,52.0,False,"['Adventure', 'Fantasy', 'Supernatural']",2243,62.0,JP,MANGA,Toei Animation,61.0
Eyeshield 21,4-2005,3-2008,SPRING,2005.0,"['American Football', 'Shounen', 'Male Protagonist', 'School', 'Primarily Male Cast', 'School Club', 'Coming of Age', 'Bullying', 'Slapstick', 'Delinquents', 'Tragedy']",TV,FINISHED,145.0,False,"['Action', 'Comedy', 'Sports']",26310,76.0,JP,MANGA,Studio Gallop,9.0
Honey and Clover,4-2005,9-2005,SPRING,2005.0,"['Coming of Age', 'Josei', 'Male Protagonist', 'College', 'Primarily Adult Cast', 'Love Triangle', 'Heterosexual', 'Primarily Male Cast', 'Drawing', 'Chibi', 'Kuudere']",TV,FINISHED,24.0,False,"['Comedy', 'Drama', 'Romance', 'Slice of Life']",46317,76.0,JP,MANGA,J.C. Staff,8.0
Hungry Heart: Wild Striker,9-2002,9-2003,FALL,2002.0,"['Football', 'Shounen', 'School Club', 'Primarily Male Cast']",TV,FINISHED,52.0,False,"['Comedy', 'Slice of Life', 'Sports']",3703,70.0,JP,MANGA,Nippon Animation,15.0
Initial D 4th Stage,4-2004,2-2006,SPRING,2004.0,"['Cars', 'Seinen', 'CGI', 'Primarily Adult Cast', 'Rural', 'Heterosexual', 'Male Protagonist', 'Primarily Male Cast', 'Rape']",TV,FINISHED,24.0,False,"['Action', 'Drama', 'Sports']",34578,79.0,JP,MANGA,OB Planning,269.0
Monster,4-2004,9-2005,SPRING,2004.0,"['Crime', 'Seinen', 'Detective', 'Ensemble Cast', 'Philosophy', 'Fugitive', 'Revenge', 'Primarily Adult Cast', 'Noir', 'Conspiracy', 'Memory Manipulation', 'Tragedy', 'Twins', 'Adoption', 'Police', 'Politics', 'Foreign', 'Male Protagonist', 'Dissociative Identities', 'Amnesia', 'Medicine', 'Travel', 'Historical', 'Time Skip', 'Orphan', 'Guns', 'Suicide', 'Torture', 'Female Protagonist', 'Crossdressing', 'Episodic', 'Gore', 'Nudity', 'Rape']",TV,FINISHED,74.0,False,"['Drama', 'Horror', 'Mystery', 'Psychological', 'Thriller']",217226,88.0,JP,MANGA,MADHOUSE,18.0
